,0,1,2
contig_18694_1,1.0,0.0,1.0
contig_18715_2,1.0,1.0,1.0
contig_18614_8,1.0,1.0,1.0
contig_18614_9,0.0,1.0,1.0
contig_18614_6,1.0,1.0,1.0
contig_18614_7,1.0,1.0,1.0
contig_18614_4,1.0,1.0,1.0
contig_18614_5,1.0,0.0,1.0
contig_18614_2,1.0,1.0,1.0
contig_18614_3,1.0,0.0,1.0
contig_18614_1,1.0,1.0,1.0
contig_18588_40,1.0,0.0,0.0
contig_18633_13,1.0,1.0,1.0
contig_18633_12,1.0,0.0,1.0
contig_18633_11,1.0,0.0,1.0
contig_18633_10,1.0,1.0,1.0
contig_18616_4,1.0,1.0,1.0
contig_18616_5,1.0,1.0,1.0
contig_18633_15,1.0,1.0,1.0
contig_18633_14,1.0,1.0,1.0
contig_18616_8,1.0,1.0,1.0
contig_18616_9,1.0,1.0,1.0
contig_18618_2,1.0,1.0,1.0
contig_18618_3,1.0,0.0,1.0
contig_18618_1,1.0,0.0,1.0
contig_18618_6,1.0,1.0,1.0
contig_18618_7,1.0,1.0,1.0
contig_18618_4,1.0,1.0,1.0
contig_18618_5,1.0,0.0,1.0
contig_18618_8,1.0,1.0,1.0
contig_18618_9,1.0,1.0,1.0
contig_18584_29,1.0,1.0,1.0
contig_18584_28,1.0,0.0,1.0
contig_18610_8,1.0,1.0,1.0
contig_18610_9,1.0,1.0,1.0
contig_18610_2,1.0,1.0,1.0
contig_18610_3,1.0,1.0,1.0
contig_18610_1,1.0,1.0,1.0
contig_18610_6,1.0,1.0,1.0
contig_18610_7,1.0,1.0,1.0
contig_18610_4,1.0,1.0,1.0
contig_18610_5,1.0,1.0,1.0
contig_18605_16,1.0,0.0,1.0
contig_18597_20,1.0,1.0,1.0
contig_18612_8,1.0,0.0,1.0
contig_18612_9,1.0,1.0,1.0
contig_18605_17,1.0,1.0,1.0
contig_18612_4,1.0,1.0,1.0
contig_18612_5,1.0,1.0,1.0
contig_18612_6,1.0,1.0,1.0
contig_18612_7,1.0,1.0,1.0
contig_18605_14,1.0,1.0,1.0
contig_18612_2,1.0,1.0,1.0
contig_18612_3,1.0,1.0,1.0
contig_18591_4,1.0,1.0,1.0
contig_18591_5,1.0,1.0,1.0
contig_18591_6,1.0,0.0,1.0
contig_18605_15,1.0,1.0,1.0
contig_18584_36,1.0,0.0,1.0
contig_18591_1,1.0,1.0,1.0
contig_18591_2,1.0,1.0,1.0
contig_18591_3,1.0,1.0,1.0
contig_18605_12,1.0,1.0,1.0
contig_18584_38,1.0,1.0,1.0
contig_18591_8,1.0,1.0,1.0
contig_18591_9,1.0,1.0,1.0
contig_18605_13,1.0,1.0,1.0
contig_18597_6,1.0,1.0,1.0
contig_18597_7,1.0,1.0,1.0
contig_18597_4,1.0,1.0,1.0
contig_18597_5,1.0,1.0,1.0
contig_18597_2,1.0,1.0,1.0
contig_18605_10,1.0,1.0,1.0
contig_18597_1,1.0,1.0,1.0
contig_18605_11,1.0,1.0,1.0
contig_18597_8,1.0,0.0,1.0
contig_18597_9,0.0,1.0,1.0
contig_18595_8,1.0,0.0,1.0
contig_18595_9,1.0,1.0,0.0
contig_18595_1,1.0,1.0,1.0
contig_18595_2,1.0,1.0,1.0
contig_18595_3,1.0,1.0,1.0
contig_18595_4,1.0,1.0,1.0
contig_18595_5,1.0,1.0,1.0
contig_18595_6,1.0,1.0,1.0
contig_18595_7,1.0,1.0,1.0
contig_18611_22,1.0,1.0,0.0
contig_18611_23,1.0,1.0,1.0
contig_18611_20,1.0,1.0,0.0
contig_18611_21,1.0,0.0,0.0
contig_18759_2,1.0,1.0,1.0
contig_18759_1,1.0,1.0,1.0
contig_18608_9,1.0,1.0,1.0
contig_18752_4,1.0,1.0,1.0
contig_18587_12,1.0,1.0,1.0
contig_18752_1,1.0,1.0,1.0
contig_18752_3,1.0,1.0,1.0
contig_18752_2,1.0,1.0,1.0
contig_18754_2,1.0,1.0,1.0
contig_18754_1,1.0,1.0,1.0
contig_18580_38,1.0,1.0,1.0
contig_18580_39,1.0,1.0,1.0
contig_18580_36,1.0,1.0,1.0
contig_18580_37,1.0,1.0,1.0
contig_18580_34,1.0,1.0,1.0
contig_18580_35,1.0,0.0,1.0
contig_18580_32,1.0,1.0,1.0
contig_18580_33,1.0,1.0,1.0
contig_18580_30,1.0,1.0,1.0
contig_18580_31,1.0,1.0,1.0
contig_18579_61,1.0,1.0,1.0
contig_18579_60,0.0,1.0,1.0
contig_18579_63,1.0,1.0,1.0
contig_18579_62,1.0,1.0,1.0
contig_18579_65,1.0,1.0,1.0
contig_18579_64,1.0,1.0,1.0
contig_18579_67,0.0,0.0,1.0
