,0,1,2,3,4,5,6
contig_21616_7,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_21616_8,0.0,0.0,0.0,1.0,0.0,1.0,0.0
contig_21616_9,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_22142_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21618_2,0.0,1.0,0.0,1.0,3.0,1.0,0.0
contig_21618_3,0.0,2.0,0.0,1.0,0.0,1.0,0.0
contig_21618_1,0.0,2.0,0.0,1.0,1.0,1.0,0.0
contig_21618_6,0.0,2.0,1.0,1.0,0.0,1.0,0.0
contig_21618_7,0.0,3.0,0.0,1.0,0.0,1.0,0.0
contig_21618_4,0.0,1.0,0.0,1.0,0.0,1.0,0.0
contig_21618_5,0.0,1.0,0.0,1.0,0.0,1.0,0.0
contig_21618_8,0.0,3.0,0.0,1.0,0.0,1.0,0.0
contig_21618_9,0.0,2.0,0.0,1.0,0.0,1.0,0.0
contig_21798_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21798_6,3.0,5.0,2.0,1.0,11.0,1.0,0.0
contig_21798_5,0.0,0.0,0.0,1.0,1.0,1.0,0.0
contig_21798_4,1.0,0.0,8.0,2.0,0.0,3.0,0.0
contig_21798_3,0.0,0.0,5.0,2.0,0.0,5.0,0.0
contig_21798_2,0.0,1.0,0.0,1.0,0.0,0.0,0.0
contig_21798_1,0.0,1.0,0.0,1.0,0.0,1.0,0.0
contig_21881_5,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_21610_2,0.0,1.0,0.0,0.0,1.0,1.0,1.0
contig_21610_3,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_21610_1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_21610_6,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_21610_7,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_21610_4,0.0,2.0,0.0,1.0,2.0,0.0,0.0
contig_21610_5,0.0,2.0,0.0,1.0,1.0,1.0,0.0
contig_21883_4,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_21883_5,0.0,2.0,0.0,0.0,0.0,1.0,0.0
contig_21883_6,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_21883_7,0.0,1.0,0.0,0.0,0.0,0.0,0.0
contig_21647_10,0.0,1.0,0.0,1.0,0.0,1.0,0.0
contig_21647_11,0.0,0.0,1.0,1.0,0.0,1.0,3.0
contig_21883_2,0.0,0.0,1.0,0.0,0.0,1.0,0.0
contig_21883_3,1.0,2.0,0.0,0.0,0.0,0.0,0.0
contig_21612_4,0.0,4.0,0.0,1.0,1.0,1.0,0.0
contig_21612_5,0.0,4.0,3.0,1.0,1.0,0.0,0.0
contig_21612_6,0.0,2.0,0.0,1.0,0.0,1.0,0.0
contig_21612_7,0.0,6.0,0.0,1.0,2.0,1.0,0.0
contig_21883_8,0.0,1.0,3.0,0.0,0.0,1.0,0.0
contig_21612_1,0.0,5.0,1.0,1.0,3.0,1.0,0.0
contig_21612_2,0.0,0.0,1.0,1.0,2.0,1.0,1.0
contig_21612_3,0.0,6.0,2.0,1.0,1.0,1.0,0.0
contig_21837_3,0.0,4.0,0.0,1.0,5.0,1.0,0.0
