,0,1
contig_20041_5,1.0,1.0
contig_20041_4,7.0,1.0
contig_20041_6,0.0,0.0
contig_20028_5,1.0,1.0
contig_20264_1,0.0,1.0
contig_20264_2,0.0,0.0
contig_20264_3,0.0,0.0
contig_20229_4,0.0,1.0
contig_20229_1,0.0,0.0
contig_20229_3,0.0,0.0
contig_20229_2,0.0,0.0
contig_20009_5,0.0,1.0
contig_20009_4,0.0,1.0
contig_20009_6,0.0,1.0
contig_20009_1,0.0,0.0
contig_20009_3,0.0,1.0
contig_20009_2,0.0,0.0
contig_20082_2,1.0,1.0
contig_20082_3,1.0,1.0
contig_20003_1,11.0,1.0
contig_20082_1,0.0,1.0
contig_20003_7,0.0,1.0
contig_20003_6,0.0,0.0
contig_20003_5,0.0,0.0
contig_20003_4,0.0,0.0
contig_20224_1,0.0,1.0
contig_20224_2,0.0,1.0
contig_20224_3,1.0,1.0
contig_20224_4,0.0,1.0
contig_20080_4,0.0,0.0
contig_20080_5,0.0,0.0
contig_20080_6,0.0,0.0
contig_20080_7,0.0,1.0
contig_20001_1,113.0,0.0
contig_20080_1,0.0,0.0
contig_20080_2,0.0,0.0
contig_20080_3,0.0,0.0
contig_20080_8,0.0,0.0
contig_20001_8,4.0,1.0
contig_20086_6,0.0,1.0
contig_20086_7,3.0,1.0
contig_20086_4,0.0,0.0
contig_20086_5,0.0,1.0
contig_20086_2,0.0,1.0
contig_20086_3,0.0,0.0
contig_20007_1,0.0,0.0
contig_20043_8,1.0,1.0
contig_20043_7,0.0,0.0
contig_20043_6,3.0,0.0
contig_20043_5,0.0,0.0
contig_20043_4,0.0,0.0
contig_20043_3,0.0,1.0
contig_20043_2,0.0,1.0
contig_20043_1,2.0,1.0
contig_20007_8,0.0,0.0
contig_20005_1,2.0,1.0
contig_20084_1,0.0,0.0
contig_20084_2,0.0,0.0
contig_20084_3,1.0,0.0
contig_20084_4,0.0,0.0
contig_20005_4,0.0,0.0
contig_20266_4,0.0,0.0
contig_20005_6,0.0,0.0
contig_20267_1,0.0,0.0
contig_20066_7,0.0,0.0
contig_20220_1,3.0,1.0
contig_20220_2,18.0,1.0
contig_20220_3,35.0,1.0
contig_20269_1,0.0,0.0
contig_20014_3,0.0,2.0
contig_20269_3,1.0,0.0
contig_20269_2,0.0,0.0
contig_20226_2,0.0,1.0
contig_20226_1,0.0,1.0
contig_19977_7,0.0,0.0
contig_19977_6,0.0,0.0
contig_19977_5,0.0,0.0
contig_19977_4,0.0,0.0
contig_19977_3,0.0,0.0
contig_19977_2,0.0,0.0
contig_19977_1,0.0,1.0
contig_20146_3,0.0,0.0
contig_20146_2,0.0,0.0
contig_20146_1,0.0,0.0
contig_19977_9,0.0,0.0
contig_19977_8,0.0,1.0
contig_19975_9,1.0,1.0
contig_19975_8,0.0,1.0
contig_20060_7,0.0,1.0
contig_19975_1,0.0,1.0
contig_20144_4,0.0,0.0
contig_19975_3,0.0,1.0
contig_19975_2,0.0,1.0
contig_19975_5,0.0,1.0
contig_19975_4,1.0,1.0
